Player,POS,Team,CMP,ATT,YDS,PCT,YPA,SACK,TD,INT,LONG,RATING,ATT,YDS,AVG,LONG,TD,FUM,REC,YDS,AVG,LONG,TD,DROP,DROP PCT,YAC,YAC AVG,YDS,TD,TOT
,,,,PASSING,,,,,,,,,,,,RUSHING,,,,,,,,,RECEIVING,,,,,,,,,TOTAL OFF,,
Lamar Jackson,QB,Bills,171,309,2385,55%,7.7,27,30,18,53,88.5,89,438,4.9,74,8,3,0,0,0.0,0,0,0,0%,0,0.0,2823,38,0
Brock Purdy,QB,Eagles,132,243,2670,54%,11.0,13,38,13,87,110.4,25,142,5.7,13,1,4,0,0,0.0,0,0,0,0%,0,0.0,2812,39,1
Cam Newton,QB,Panthers,139,250,2224,56%,8.9,15,25,4,73,112.2,18,69,3.8,13,4,1,0,0,0.0,0,0,0,0%,0,0.0,2293,29,0
Joe Burrow,QB,Giants,152,266,2237,57%,8.4,27,27,10,89,102.9,12,36,3.0,9,1,1,0,0,0.0,0,0,0,0%,0,0.0,2273,28,0
Justin Herbert,QB,Broncos,121,229,1957,53%,8.5,20,19,6,91,98.5,11,78,7.1,15,0,4,0,0,0.0,0,0,0,0%,0,0.0,2035,19,0
Patrick Mahomes,QB,Bears,136,290,1962,47%,6.8,15,17,24,76,54.4,9,54,6.0,16,1,1,0,0,0.0,0,0,0,0%,0,0.0,2016,18,0
Andy Dalton,QB,Chiefs,137,222,1647,62%,7.4,21,15,10,53,88.2,4,18,4.5,8,1,1,0,0,0.0,0,0,0,0%,0,0.0,1665,16,0
Josh Allen,QB,Packers,89,195,1594,46%,8.2,17,21,12,68,84.4,14,52,3.7,10,5,1,0,0,0.0,0,0,0,0%,0,0.0,1646,26,0
Jalen Hurts,QB,Patriots,97,203,1351,48%,6.7,16,13,10,70,70.5,29,207,7.1,20,3,1,0,0,0.0,0,0,0,0%,0,0.0,1558,16,0
Saquon Barkley,HB,Patriots,0,0,0,0%,0.0,0,0,0,0,0.0,173,950,5.5,66,9,6,38,381,10.0,29,5,4,10%,294,7.7,1331,14,3
Jahmyr Gibbs,HB,Eagles,0,0,0,0%,0.0,0,0,0,0,0.0,87,750,8.6,74,7,5,33,503,15.2,48,6,3,8%,370,11.2,1253,13,6
Kirk Cousins,QB,Saints,93,187,1250,50%,6.7,22,13,13,64,65.6,4,0,0.0,2,0,0,0,0,0.0,0,0,0,0%,0,0.0,1250,13,0
